table,capability,cols,fk_out,fk_in,policies,triggers,create_migration,code_usage,real_refs,db_comment,decision,owner
lut_diagnosticos,lutería,18,1,0,1,1,"20260627_luteria_taller_schema.sql","referenciada: modules/luteria-taller/api/luteriaTallerSupabase.js, modules/luteria/components/luteriaDiagnosticoWizard.js",2,"",,
lut_evidencias,lutería,10,1,0,1,0,"20260627_luteria_taller_schema.sql","referenciada: modules/luteria-taller/api/luteriaTallerSupabase.js",1,"",,
lut_insumos,lutería,11,0,2,1,0,"20260627_luteria_taller_schema.sql","referenciada: modules/luteria-taller/api/luteriaTallerSupabase.js, modules/luteria/views/luteriaInsumosView.js",2,"",,
lut_movimientos_insumos,lutería,8,2,0,1,0,"20260627_luteria_taller_schema.sql","referenciada: modules/luteria-taller/api/luteriaTallerSupabase.js",1,"",,
lut_presupuestos,lutería,15,1,0,1,0,"20260627_luteria_taller_schema.sql","referenciada: modules/luteria-taller/api/luteriaTallerSupabase.js",1,"",,
lut_solicitudes_compra,lutería,14,2,0,1,0,"20260627_luteria_taller_schema.sql","referenciada: modules/luteria-taller/api/luteriaTallerSupabase.js",1,"",,
maestro_access_credentials,operaciones/reportes,9,2,0,1,1,"20260804000005_maestro_access_credentials.sql","referenciada: modules/maestros/api/maestrosApi.js, supabase/functions/maestro-credentials/index.ts",2,"Vault cifrado de contrasenas recuperables del portal maestro.",,
maestro_retiros,operaciones/reportes,7,3,0,1,0,"20260822000001_safe_teacher_retirement.sql","sin referencia",0,"",,
maestro_tareas,operaciones/reportes,8,2,0,2,0,"portal-maestros-tables.sql (sin fecha)","referenciada: portal-maestros/components/tareasPanel.js",1,"",,
mapa_plantillas,académico,10,3,0,2,1,"","solo autogen",0,"",,
mensajes_internos,alianzas/comunicaciones,10,2,0,2,0,"","solo autogen",0,"",,
minutas,alianzas/comunicaciones,12,1,1,4,0,"","solo autogen",0,"",,
node_resources,académico,10,1,0,2,0,"010_node_resources_schema.sql","referenciada: modules/academic-admin/api/academicAdminApi.js",1,"",,
